Frozen Food Manufacturing PPI,Timeframe,Dried and dehydrated Food Manufacturing PPI,Seafood Production and Packaging PPI,Snack Food Manufacturing PPI,Perishable Food Manufacturing PPI,Food and Beverages Retailers PPI,Food and Beverages CCPI,Food and Beverages CPI (target),Civilian workers Total compensation,Private industry workers Total compensation,State and government workers Total compensation,DAIRY PRODUCT TOTALS,"FIELD CROPS, OTHER",FOOD FISH,FRUIT & TREE NUT TOTALS,HORTICULTURE TOTALS,LIVESTOCK TOTALS,POULTRY TOTALS,VEGETABLE TOTALS
159.7,2009-04-01,198.6,126.2,126.6,115.6,153.4,127.681,218.372,1.8,1.5,3.1,59.1,93.8,,73.5,,72.8,93.9,112.0
159.8,2009-03-01,198.4,126.7,125.0,115.5,157.1,128.001,218.682,2.1,1.9,3.1,58.1,93.8,,73.7,,69.4,91.5,96.0
159.7,2009-02-01,198.4,126.0,125.8,115.4,151.7,128.374,219.058,2.1,1.9,3.1,57.6,93.8,,73.1,,69.4,94.1,88.4
159.7,2009-01-01,198.4,126.5,125.4,115.7,152.4,128.663,219.323,2.1,1.9,3.1,66.0,93.8,,72.6,,69.9,99.9,110.4
159.2,2008-12-01,196.9,126.6,125.7,115.9,153.1,128.111,219.151,2.6,2.4,3.0,77.0,93.8,,75.8,,68.8,99.1,96.1
159.4,2008-11-01,198.0,127.5,125.4,115.3,154.6,128.105,219.079,2.6,2.4,3.0,84.9,93.8,,87.7,,72.4,99.7,98.8
157.7,2008-10-01,198.2,128.9,123.9,115.1,151.1,128.192,218.632,2.6,2.4,3.0,88.4,93.8,,93.0,,76.6,99.4,113.9
154.2,2008-09-01,195.0,127.7,123.7,114.0,150.6,127.631,217.749,2.9,2.8,3.4,90.4,93.8,,95.6,,82.1,99.4,111.2
154.2,2008-08-01,193.8,127.6,120.8,113.6,152.4,126.876,216.53,2.9,2.8,3.4,91.4,93.1,,91.6,,86.1,100.8,91.8
154.1,2008-07-01,193.9,125.7,120.1,112.8,150.2,126.252,215.449,2.9,2.8,3.4,96.3,93.1,,91.3,,83.5,102.7,91.1
153.7,2008-06-01,190.0,123.3,118.3,110.0,148.3,125.21,213.452,3.1,3.0,3.5,95.8,93.0,,90.4,,81.4,103.2,97.2
153.0,2008-05-01,187.2,122.7,118.3,109.9,148.8,124.654,212.204,3.1,3.0,3.5,91.4,93.0,,91.6,,81.6,99.6,98.1
152.2,2008-04-01,186.9,120.4,114.2,107.8,147.9,124.123,211.368,3.1,3.0,3.5,89.9,93.0,,82.2,,75.2,99.0,103.1
151.6,2008-03-01,183.6,118.6,113.9,107.5,144.3,123.105,209.595,3.3,3.2,3.6,89.9,93.0,,89.3,,74.3,105.9,85.8
150.3,2008-02-01,182.1,117.0,113.2,109.1,144.0,122.987,209.183,3.3,3.2,3.6,94.8,93.0,,89.9,,76.1,103.5,75.4
149.5,2008-01-01,180.4,117.4,112.7,109.0,146.2,122.624,208.392,3.3,3.2,3.6,101.8,93.0,,91.2,,73.6,99.3,87.8
147.7,2007-12-01,176.4,116.1,111.3,109.6,140.8,121.475,207.141,3.3,3.0,4.1,106.8,89.9,,93.8,,74.9,96.9,88.1
147.6,2007-11-01,176.2,113.3,111.1,109.0,142.2,121.3,206.789,3.3,3.0,4.1,108.7,89.9,,107.8,,76.3,98.5,88.6
146.4,2007-10-01,174.6,112.7,110.0,105.8,142.5,121.233,205.988,3.3,3.0,4.1,106.3,89.9,,105.3,,78.2,89.8,125.0
146.2,2007-09-01,174.5,112.0,108.6,105.1,139.5,120.702,205.347,3.3,3.1,4.3,108.2,90.0,,96.8,,80.2,99.4,99.0
146.0,2007-08-01,172.2,111.9,109.4,104.8,140.1,120.13,204.418,3.3,3.1,4.3,107.3,90.3,,91.6,,81.0,96.3,93.3
145.2,2007-07-01,172.6,113.4,108.5,104.8,140.0,119.68,203.64,3.3,3.1,4.3,107.3,90.3,,87.6,,79.3,98.9,80.0
144.9,2007-06-01,172.3,113.4,109.0,104.8,139.6,119.474,202.977,3.3,3.1,4.8,100.3,89.8,,90.8,,79.8,93.4,84.5
144.7,2007-05-01,172.3,113.5,109.3,106.5,140.8,119.173,202.157,3.3,3.1,4.8,89.4,89.8,,91.1,,82.0,94.6,91.8
144.4,2007-04-01,169.8,112.7,109.5,105.5,138.9,118.602,201.392,3.3,3.1,4.8,81.9,89.8,,88.9,,80.9,91.5,115.3
144.4,2007-03-01,168.0,112.1,109.5,109.6,138.0,118.365,200.853,3.5,3.2,4.6,77.5,89.8,,91.5,,78.3,91.4,122.6
144.5,2007-02-01,168.6,111.8,109.4,106.4,137.1,118.11,200.126,3.5,3.2,4.6,74.0,89.8,,96.6,,75.6,88.5,105.1
144.4,2007-01-01,168.3,111.2,108.6,106.3,135.2,117.419,198.813,3.5,3.2,4.6,72.0,89.8,,94.2,,72.5,83.6,113.0
144.4,2006-12-01,166.3,108.5,108.0,106.0,134.8,116.3,197.5,3.3,3.2,4.1,70.5,88.5,,96.2,,72.2,79.4,95.4
144.2,2006-11-01,164.4,107.6,107.5,107.2,134.5,116.2,197.4,3.3,3.2,4.1,69.0,88.5,,99.9,,74.5,84.9,75.6
144.7,2006-10-01,163.5,106.8,107.0,106.7,136.1,116.4,197.4,3.3,3.2,4.1,67.0,88.5,,102.4,,77.9,78.5,78.6
144.8,2006-09-01,164.5,106.4,107.3,106.1,136.0,116.0,196.8,3.3,3.0,4.1,64.6,88.3,,103.7,,79.5,78.9,101.6
145.0,2006-08-01,162.5,106.4,110.5,103.2,135.7,115.5,196.2,3.3,3.0,4.1,59.6,88.2,,97.6,,78.8,78.7,97.0
144.8,2006-07-01,162.2,106.7,110.6,103.1,134.6,115.4,195.7,3.3,3.0,4.1,58.1,88.2,,101.2,,77.0,74.2,75.7
144.6,2006-06-01,161.8,106.9,110.5,104.2,132.9,115.2,195.3,3.0,2.8,3.8,59.1,88.3,,106.2,,76.8,73.2,83.6
144.5,2006-05-01,161.0,107.6,108.6,104.8,133.8,115.0,194.7,3.0,2.8,3.8,59.1,88.3,,81.8,,73.9,66.1,99.1
143.9,2006-04-01,158.8,106.9,107.8,104.0,134.2,114.7,194.3,3.0,2.8,3.8,59.6,88.3,,77.9,,73.8,65.4,96.0
144.1,2006-03-01,158.0,106.3,107.7,104.7,137.5,114.8,194.4,2.8,2.6,3.7,62.6,88.3,,79.6,,76.1,71.0,84.8
144.0,2006-02-01,155.7,106.4,107.7,106.4,132.3,114.8,194.2,2.8,2.6,3.7,67.0,88.3,,83.8,,79.4,68.3,73.2
144.0,2006-01-01,157.0,107.5,108.3,105.8,134.4,114.8,194.1,2.8,2.6,3.7,71.5,88.3,,76.0,,80.5,73.0,81.4
143.5,2005-12-01,156.7,108.7,108.9,106.2,134.6,114.0,193.3,3.1,2.9,4.1,73.5,86.6,,75.1,,80.0,77.7,97.0
143.5,2005-11-01,155.2,108.2,110.3,104.7,136.7,113.7,193.0,3.1,2.9,4.1,75.0,86.6,,85.0,,77.8,85.0,72.3
143.6,2005-10-01,154.1,107.6,109.1,103.9,135.0,113.7,192.4,3.1,2.9,4.1,77.0,86.6,,87.6,,78.4,83.2,72.1
143.7,2005-09-01,154.0,107.5,109.0,102.9,131.5,113.3,191.9,3.0,2.9,3.9,76.0,86.6,,89.3,,76.3,89.5,80.9
143.8,2005-08-01,150.9,106.8,108.9,102.3,130.2,112.9,191.5,3.0,2.9,3.9,73.5,85.8,,87.2,,74.8,83.1,75.2
143.6,2005-07-01,150.2,105.8,108.9,101.8,131.0,112.9,191.4,3.0,2.9,3.9,73.5,85.8,,80.7,,74.3,83.9,71.4
143.7,2005-06-01,150.6,105.7,109.1,102.7,131.4,112.7,191.0,3.2,3.1,3.5,71.5,85.8,,79.4,,76.2,82.0,88.0
143.8,2005-05-01,151.1,105.1,108.6,103.5,128.0,113.0,191.0,3.2,3.1,3.5,73.0,85.8,,69.7,,80.7,81.9,85.8
143.5,2005-04-01,150.7,104.8,108.2,102.7,127.7,112.7,190.8,3.2,3.1,3.5,75.5,85.8,,62.4,,80.9,81.1,115.5
143.4,2005-03-01,150.6,104.9,107.1,102.2,129.5,112.2,189.6,3.6,3.5,3.6,77.0,85.8,,67.4,,78.3,81.4,104.8
143.4,2005-02-01,151.0,104.3,106.8,102.1,129.9,112.0,189.2,3.6,3.5,3.6,76.5,85.8,,71.2,,79.0,80.2,74.8
143.5,2005-01-01,151.2,105.7,105.9,101.7,126.8,112.1,189.1,3.6,3.5,3.6,79.9,85.8,,66.4,,79.9,81.6,59.1
