Region,Year,Crop Name,Harvested Acres,Yield,Production,Price P/U,Value
Fresno,2011.0,TOMATOES PROCESSING,95200.0,54.88,5225000.0,70.0,365750000.0
Fresno,2012.0,ALMONDS ALL,154000.0,1.34,206000.0,4251.0,875706000.0
Fresno,2012.0,TOMATOES PROCESSING,97600.0,56.39,5504000.0,68.0,374272000.0
Fresno,2013.0,ALMONDS ALL,162220.0,1.23,200000.0,5249.0,1049800000.0
Fresno,2013.0,TOMATOES PROCESSING,101000.0,50.27,5077000.0,69.0,350313000.0
Fresno,2014.0,ALMONDS ALL,171000.0,1.08,184000.0,6792.0,1249728000.0
Fresno,2014.0,TOMATOES PROCESSING,89600.0,53.06,4754000.0,85.0,404090000.0
Fresno,2015.0,ALMONDS ALL,186000.0,1.0,186000.0,6300.0,1171800000.0
Fresno,2015.0,TOMATOES PROCESSING,97200.0,52.13,5067000.0,82.0,415494000.0
Fresno,2016.0,ALMONDS ALL,215000.0,1.17,252000.0,4633.0,1167516000.0
Fresno,2016.0,TOMATOES PROCESSING,90400.0,49.42,4468000.0,72.0,321696000.0
Fresno,2017.0,ALMONDS ALL,228000.0,1.13,258000.0,4526.0,1167708000.0
Fresno,2017.0,TOMATOES PROCESSING,73400.0,51.69,3794000.0,67.0,254198000.0
Fresno,2018.0,ALMONDS ALL,250000.0,0.96,240000.0,4626.0,1110240000.0
Fresno,2018.0,TOMATOES PROCESSING,77100.0,56.52,4358000.0,68.0,296344000.0
Fresno,2019.0,ALMONDS ALL,264000.0,1.17,309000.0,4930.0,1523370000.0
Fresno,2019.0,TOMATOES PROCESSING,74800.0,52.1,3897000.0,73.0,284481000.0
Fresno,2020.0,ALMONDS ALL,275000.0,1.24,341000.0,3512.0,1197592000.0
Fresno,2020.0,TOMATOES PROCESSING,72400.0,52.5,3801000.0,75.0,285075000.0
