month,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1979-01,Eureka,40.802071,-124.163673,46.88131720430107,9927.835051546392,41.462997311827955,43.47091397849462,45.316975806451616,48.47552419354839,1016.755376344086,,,81.86021505376344,9.264072580645161,162.8709677419355,,0.9958659217877095,,,,67.05376344086021,800,Clear,sky is clear,01d
1979-01,Fresno,36.737798,-119.787125,47.261543367346945,6979.124579124579,40.470408163265304,45.39946428571429,46.3199362244898,48.2302806122449,1017.2882653061224,,,78.30102040816327,4.7401403061224485,163.19897959183675,27.515,0.8316279069767442,,,,63.451530612244895,721,Haze,haze,50d
1979-01,Los Angeles,34.054908,-118.242643,52.401827956989244,,44.65844086021505,50.834999999999994,50.61887096774194,53.943709677419356,1016.5833333333334,,,76.56989247311827,4.5398252688172045,108.98790322580645,,1.0501550387596899,,,,63.93682795698925,800,Clear,sky is clear,01d
1979-01,Palm Springs,33.830296,-116.545292,50.321620185922974,9646.42857142857,38.324555112881804,48.43010624169987,47.34588313413014,55.11208499335989,1017.2921646746348,,,67.24701195219123,3.8165471447543164,201.16201859229747,32.21,0.6147682119205298,,0.2925,,63.407702523240374,800,Clear,sky is clear,01d
1979-01,Riverside,33.980601,-117.375494,48.76779569892473,,40.4108064516129,47.394381720430104,46.75904569892474,50.89688172043011,1016.9784946236559,,,74.78897849462365,3.23875,110.95295698924731,,0.9834969325153374,,0.12,,67.85483870967742,800,Clear,sky is clear,01d
1979-01,San Francisco,37.774929,-122.419415,47.85986559139785,,42.550954301075265,45.008373655913985,46.39638440860215,49.300766129032255,1016.8118279569892,,,82.71505376344086,8.65377688172043,172.14112903225808,,1.1177857142857144,,,,64.19220430107526,800,Clear,sky is clear,01d
1979-01,South Lake Tahoe,38.939926,-119.977187,23.26373333333333,8802.366863905325,18.702266666666667,19.424586666666666,20.538,26.5802,1018.9146666666667,,,81.508,4.492946666666667,148.17066666666668,28.672857142857143,1.1005,,0.6119594594594594,,80.26933333333334,800,Clear,sky is clear,01d
1979-02,Eureka,40.802071,-124.163673,47.80429420505201,9230.434782608696,42.804190193164935,44.41205052005944,46.39454680534918,49.28797919762258,1018.2511144130758,,,83.2109955423477,10.44108469539376,194.17087667161962,,0.8546451612903225,,,,83.92867756315007,500,Rain,light rain,10d
1979-02,Fresno,36.737798,-119.78712500000002,50.013921852387845,8132.8,42.61616497829233,48.42182344428365,49.0837047756874,51.01241678726483,1019.3965267727931,,,77.09406657018813,4.697756874095514,184.90303907380607,26.396666666666665,0.7691724137931034,,,,59.90303907380608,500,Rain,light rain,10d
1979-02,Los Angeles,34.054908,-118.242643,54.27251488095238,,47.261116071428575,53.10004464285715,52.41907738095239,55.8916369047619,1018.4255952380952,,,78.71577380952381,4.090863095238095,136.38839285714286,,0.7061797752808989,,,,50.092261904761905,501,Rain,moderate rain,10d
1979-02,Palm Springs,33.830296,-116.545292,52.448035714285716,10000.0,40.7138244047619,50.49742559523809,49.055104166666666,57.225386904761905,1018.0848214285714,,,66.69345238095238,5.078125,240.24404761904762,31.34,0.5606349206349206,,,,43.90625,501,Rain,moderate rain,10d
1979-02,Riverside,33.980601,-117.375494,50.23998511904762,,42.27747023809523,48.97639880952381,48.35927083333333,52.185386904761906,1018.6041666666666,,,76.42113095238095,3.193199404761905,136.88988095238096,,0.6021599999999999,,0.1,,56.592261904761905,501,Rain,moderate rain,10d
1979-02,San Francisco,37.774929,-122.419415,50.329345238095236,,45.30508928571429,48.491875,48.96186011904762,51.65748511904762,1019.2261904761905,,,83.41666666666667,8.226994047619048,222.04761904761904,,1.0932539682539681,,,,66.88392857142857,802,Clouds,scattered clouds,03d
1979-02,South Lake Tahoe,38.939926,-119.977187,27.367050147492627,7797.260273972603,19.507227138643067,22.239542772861356,24.988613569321533,30.056814159292035,1018.8598820058997,,,72.28171091445428,5.926356932153393,191.01769911504425,29.470000000000002,0.41210526315789475,,0.6979234972677596,,79.10176991150442,804,Clouds,overcast clouds,04d
1979-03,Eureka,40.802071,-124.16367300000002,50.06197315436241,8592.452830188678,45.80841610738255,48.06497986577182,48.25785234899329,52.050872483221475,1017.089932885906,,,85.59731543624162,7.269073825503356,192.98791946308725,,0.5261702127659574,,,,61.59597315436242,500,Rain,light rain,10d
1979-03,Fresno,36.737798,-119.787125,56.19771580345285,8287.547169811322,47.98725099601594,55.06114209827357,55.19118193891102,57.26169986719787,1016.136786188579,,,75.52988047808765,5.156055776892431,209.0464807436919,24.68166666666667,0.7984472049689442,,,,51.42496679946879,804,Clouds,overcast clouds,04d
1979-03,Los Angeles,34.054908,-118.242643,57.79817204301075,,51.244381720430106,57.10334677419355,55.72827956989247,59.48131720430107,1016.0994623655914,,,80.33198924731182,4.147849462365591,152.75940860215053,,1.005546875,,,,50.30913978494624,803,Clouds,broken clouds,04d
1979-03,Palm Springs,33.830296,-116.54529199999999,58.49334672021419,10000.0,44.69538152610441,57.04787148594378,55.68269076305221,62.56768406961178,1015.2463186077644,,,64.66265060240964,4.989919678714859,232.5087014725569,26.332142857142856,0.5453684210526316,,,,44.27443105756359,803,Clouds,broken clouds,04d
1979-03,Riverside,33.980601,-117.375494,53.83924731182796,,46.64637096774194,53.00926075268817,52.097043010752685,55.78165322580646,1016.2069892473119,,,78.98252688172043,3.025268817204301,145.31586021505376,,0.9609356725146199,,,,56.09274193548387,803,Clouds,broken clouds,04d
