year,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1979,Eureka,40.802071,-124.163673,54.10965658870508,9050.16077170418,49.72340901312037,52.72100627495722,51.95538049058756,56.46588134626355,1017.1493439817456,,,85.5660011409013,8.53550142612664,218.84517969195664,,0.8513149847094802,,,,59.439931545921276,800,Clear,sky is clear,01d
1979,Fresno,36.737798,-119.78712499999999,64.64904681331078,8925.766174801362,48.19091596164692,63.481381838691476,63.58916751269035,65.70828426395938,1014.7476593344613,,,59.90501974055274,5.29785222786238,230.11302876480542,27.77245283018868,0.800470588235294,,,,32.435081782289906,721,Haze,haze,50d
1979,Los Angeles,34.054908,-118.242643,67.19784703196348,,54.24486872146119,67.0276689497717,64.26345662100456,69.53495433789953,1014.3926940639269,,,67.3222602739726,4.177526255707762,161.56689497716894,,0.8707109004739336,,,,34.24440639269407,800,Clear,sky is clear,01d
1979,Palm Springs,33.830296,-116.545292,70.34748575336221,9954.362416107382,45.26068269888306,68.83359471164805,67.47233530886712,74.35466036015501,1013.6516981992249,,,47.06257123318897,4.949605653065876,227.30054707089127,30.447906976744186,0.5906818181818182,,0.2925,,29.401869158878505,800,Clear,sky is clear,01d
1979,Riverside,33.980601,-117.375494,63.46257648401827,,49.59375114155251,62.679500000000004,61.84504566210045,65.08515867579908,1014.5052511415525,,,65.03801369863014,3.1400502283105025,166.9041095890411,,0.7173551263001485,,0.11,,35.69748858447488,800,Clear,sky is clear,01d
1979,San Francisco,37.774929,-122.419415,57.83821917808219,,52.311272831050225,56.9336803652968,56.45175342465753,59.218910958904104,1016.2171232876713,,,82.82785388127854,8.533328767123288,235.96792237442924,,0.8829062087186261,,,,49.78230593607306,800,Clear,sky is clear,01d
1979,South Lake Tahoe,38.939926,-119.977187,43.42085762711865,9017.118997912317,30.372759322033897,40.74687344632768,41.51674124293785,45.39767570621469,1016.7866666666666,,,65.01954802259887,4.600077966101695,184.9813559322034,27.695736196319018,0.634016393442623,,0.7357859973579921,,45.681242937853106,800,Clear,sky is clear,01d
1980,Eureka,40.802071,-124.163673,53.760281001137656,8547.504025764896,49.39988054607509,52.43343117178612,51.59450056882821,56.19059613196815,1017.2998862343572,,,85.58589306029579,8.650990898748578,231.58179749715586,,0.8265565345080763,,,,58.743572241183166,500,Rain,light rain,10d
1980,Fresno,36.737798,-119.78712499999999,62.87313893844782,8164.104323953329,47.57321253345228,61.760960080285464,61.832976137377344,63.93638938447815,1014.9381132917039,,,61.41380463871543,5.389055530776093,233.89763603925067,27.05672131147541,0.8514285714285714,,,,33.68454504906334,520,Rain,light intensity shower rain,09d
1980,Los Angeles,34.054908,-118.242643,68.10552709471766,,54.610788934426225,68.06348929872495,65.0876320582878,70.49769239526411,1014.4162112932605,,,65.69558287795992,4.11107126593807,164.46220400728598,,1.0356435643564357,,,,34.135132058287795,803,Clouds,broken clouds,04d
1980,Palm Springs,33.830296,-116.545292,71.5929287419025,9914.455445544554,46.36441413797022,70.40346175701785,68.79684509603364,75.5530696670076,1013.5783611774066,,,46.18036140470508,5.180912603704966,227.91919536310945,31.640194174757283,0.6926958525345622,,,,28.592453687919082,804,Clouds,overcast clouds,04d
1980,Riverside,33.980601,-117.375494,64.8210894808743,,50.064137067395265,64.07811475409837,63.183818306010934,66.46980077413478,1014.5237932604736,,,63.037795992714024,3.153901411657559,171.2929189435337,,0.9602836879432624,,,,35.26605191256831,804,Clouds,overcast clouds,04d
1980,San Francisco,37.774929,-122.419415,57.22195013661202,,51.44514458105647,56.302299635701274,55.87880464480874,58.5727424863388,1016.351320582878,,,81.93180783242259,8.451977459016394,235.55362021857923,,0.831512027491409,,,,49.587773224043715,804,Clouds,overcast clouds,04d
1980,South Lake Tahoe,38.939926,-119.977187,42.60595112062169,9219.130434782608,31.12348124788828,39.64325149228517,40.63181214100687,44.62480121635319,1016.4618763374253,,,67.81923640049556,5.013816871269287,185.47235048992005,28.592860520094565,0.6592561983471075,,0.6412355212355213,,45.87656267597703,741,Fog,fog,50d
1981,Eureka,40.802071,-124.163673,54.65758836944128,8792.270531400965,50.207851767388824,53.48792474344356,52.51536145952109,57.07144355758267,1017.0381984036488,,,85.32576966932726,9.222615735461801,229.73021664766247,,0.8841387559808612,,,,62.09201824401368,741,Fog,fog,50d
1981,Fresno,36.737798,-119.787125,64.33336949228361,8387.928715534634,48.901737866249164,63.25860769402818,63.30097517333929,65.33266159695818,1014.3332587787967,,,62.34254081860881,5.364246253634534,233.3654663386267,26.266599999999997,0.7839660493827161,,,,36.369380451800495,800,Clear,sky is clear,01d
1981,Los Angeles,34.054908,-118.242643,69.26738470319636,,56.93198515981735,69.50359703196347,66.24541780821917,71.60664726027397,1013.951598173516,,,68.15764840182648,4.0384098173515985,163.67979452054794,,1.0149019607843137,,,,33.48253424657534,802,Clouds,scattered clouds,03d
1981,Palm Springs,33.830296,-116.545292,73.18506303236796,9748.496240601504,47.65511073253833,72.00492447473026,70.48659057353777,77.10708574673481,1013.0266893810335,,,45.49131175468484,4.958094264622373,225.4573537762635,29.8134375,0.5836220472440945,,,,30.379443498012492,804,Clouds,overcast clouds,04d
